Totales Territoriales;Comunidades y Ciudades Autónomas;Divisiones COICOP;Periodo;Total
Total Nacional;09 Cataluña;11. Hoteles, cafés y restaurantes;2015;15.579.688
Total Nacional;09 Cataluña;11. Hoteles, cafés y restaurantes;2014;14.348.254
Total Nacional;09 Cataluña;12. Otros bienes y servicios;2020;13.226.037
Total Nacional;09 Cataluña;12. Otros bienes y servicios;2019;13.788.320
Total Nacional;09 Cataluña;12. Otros bienes y servicios;2018;13.444.788
Total Nacional;09 Cataluña;12. Otros bienes y servicios;2017;12.688.551
Total Nacional;09 Cataluña;12. Otros bienes y servicios;2016;12.110.840
Total Nacional;09 Cataluña;12. Otros bienes y servicios;2015;11.329.797
Total Nacional;09 Cataluña;12. Otros bienes y servicios;2014;11.195.457
Total Nacional;09 Cataluña;Total gasto en consumo final de los hogares interior;2020;108.982.040
Total Nacional;09 Cataluña;Total gasto en consumo final de los hogares interior;2019;129.212.870
Total Nacional;09 Cataluña;Total gasto en consumo final de los hogares interior;2018;127.731.899
Total Nacional;09 Cataluña;Total gasto en consumo final de los hogares interior;2017;124.571.196
Total Nacional;09 Cataluña;Total gasto en consumo final de los hogares interior;2016;118.385.066
Total Nacional;09 Cataluña;Total gasto en consumo final de los hogares interior;2015;116.534.260
Total Nacional;09 Cataluña;Total gasto en consumo final de los hogares interior;2014;112.753.969
Total Nacional;09 Cataluña;P.3. Gasto en consumo final de los hogares;2020;109.181.952
Total Nacional;09 Cataluña;P.3. Gasto en consumo final de los hogares;2019;124.772.697
Total Nacional;09 Cataluña;P.3. Gasto en consumo final de los hogares;2018;123.365.929
Total Nacional;09 Cataluña;P.3. Gasto en consumo final de los hogares;2017;119.931.280
Total Nacional;09 Cataluña;P.3. Gasto en consumo final de los hogares;2016;114.200.838
Total Nacional;09 Cataluña;P.3. Gasto en consumo final de los hogares;2015;111.590.565
Total Nacional;09 Cataluña;P.3. Gasto en consumo final de los hogares;2014;108.186.999
Total Nacional;09 Cataluña;P.4. Consumo final efectivo de los hogares;2020;135.551.917
Total Nacional;09 Cataluña;P.4. Consumo final efectivo de los hogares;2019;148.701.476
Total Nacional;09 Cataluña;P.4. Consumo final efectivo de los hogares;2018;145.902.574
Total Nacional;09 Cataluña;P.4. Consumo final efectivo de los hogares;2017;141.569.240
Total Nacional;09 Cataluña;P.4. Consumo final efectivo de los hogares;2016;135.176.630
Total Nacional;09 Cataluña;P.4. Consumo final efectivo de los hogares;2015;131.995.728
Total Nacional;09 Cataluña;P.4. Consumo final efectivo de los hogares;2014;127.469.198
Total Nacional;10 Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2020;10.248.943
Total Nacional;10 Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2019;9.963.135
Total Nacional;10 Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2018;9.718.595
Total Nacional;10 Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2017;9.293.258
Total Nacional;10 Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2016;9.136.424
Total Nacional;10 Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2015;9.034.977
Total Nacional;10 Comunitat Valenciana;01. Alimentos y bebidas no alcohólicas;2014;8.968.784
Total Nacional;10 Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2020;3.364.517
Total Nacional;10 Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2019;3.303.317
Total Nacional;10 Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2018;3.240.617
Total Nacional;10 Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2017;3.224.546
Total Nacional;10 Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2016;3.169.879
Total Nacional;10 Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2015;2.982.875
Total Nacional;10 Comunitat Valenciana;02. Bebidas alcohólicas, tabaco y narcóticos;2014;3.017.517
Total Nacional;10 Comunitat Valenciana;03. Artículos de vestir y calzado;2020;2.187.937
Total Nacional;10 Comunitat Valenciana;03. Artículos de vestir y calzado;2019;3.270.439
Total Nacional;10 Comunitat Valenciana;03. Artículos de vestir y calzado;2018;3.172.990
Total Nacional;10 Comunitat Valenciana;03. Artículos de vestir y calzado;2017;3.214.770
Total Nacional;10 Comunitat Valenciana;03. Artículos de vestir y calzado;2016;3.150.001
Total Nacional;10 Comunitat Valenciana;03. Artículos de vestir y calzado;2015;2.995.070
Total Nacional;10 Comunitat Valenciana;03. Artículos de vestir y calzado;2014;2.888.730
Total Nacional;10 Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;16.060.617
Total Nacional;10 Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;16.474.469
Total Nacional;10 Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;16.081.670
Total Nacional;10 Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;15.694.860
Total Nacional;10 Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;15.273.351
Total Nacional;10 Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;15.104.532
Total Nacional;10 Comunitat Valenciana;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;15.259.954
Total Nacional;10 Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;3.214.276
Total Nacional;10 Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;3.859.227
Total Nacional;10 Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;3.873.678
Total Nacional;10 Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;3.745.334
Total Nacional;10 Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;3.490.384
Total Nacional;10 Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;3.267.191
Total Nacional;10 Comunitat Valenciana;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;3.023.584
Total Nacional;10 Comunitat Valenciana;06. Salud;2020;3.297.231
Total Nacional;10 Comunitat Valenciana;06. Salud;2019;3.525.173
Total Nacional;10 Comunitat Valenciana;06. Salud;2018;3.343.708
Total Nacional;10 Comunitat Valenciana;06. Salud;2017;3.135.226
Total Nacional;10 Comunitat Valenciana;06. Salud;2016;2.894.926
Total Nacional;10 Comunitat Valenciana;06. Salud;2015;2.821.388
Total Nacional;10 Comunitat Valenciana;06. Salud;2014;2.730.236
Total Nacional;10 Comunitat Valenciana;07. Transporte;2020;6.808.180
Total Nacional;10 Comunitat Valenciana;07. Transporte;2019;9.899.738
Total Nacional;10 Comunitat Valenciana;07. Transporte;2018;9.838.443
Total Nacional;10 Comunitat Valenciana;07. Transporte;2017;9.303.379
Total Nacional;10 Comunitat Valenciana;07. Transporte;2016;8.398.125
Total Nacional;10 Comunitat Valenciana;07. Transporte;2015;8.021.044
Total Nacional;10 Comunitat Valenciana;07. Transporte;2014;7.779.396
Total Nacional;10 Comunitat Valenciana;08. Comunicaciones;2020;1.756.659
Total Nacional;10 Comunitat Valenciana;08. Comunicaciones;2019;1.868.977
Total Nacional;10 Comunitat Valenciana;08. Comunicaciones;2018;1.877.002
Total Nacional;10 Comunitat Valenciana;08. Comunicaciones;2017;1.803.468
Total Nacional;10 Comunitat Valenciana;08. Comunicaciones;2016;1.713.210
Total Nacional;10 Comunitat Valenciana;08. Comunicaciones;2015;1.593.176
Total Nacional;10 Comunitat Valenciana;08. Comunicaciones;2014;1.610.325
Total Nacional;10 Comunitat Valenciana;09. Ocio, espectáculos y cultura;2020;3.920.303
Total Nacional;10 Comunitat Valenciana;09. Ocio, espectáculos y cultura;2019;6.195.782
Total Nacional;10 Comunitat Valenciana;09. Ocio, espectáculos y cultura;2018;5.867.692
Total Nacional;10 Comunitat Valenciana;09. Ocio, espectáculos y cultura;2017;5.545.508
Total Nacional;10 Comunitat Valenciana;09. Ocio, espectáculos y cultura;2016;5.210.337
Total Nacional;10 Comunitat Valenciana;09. Ocio, espectáculos y cultura;2015;4.799.436
Total Nacional;10 Comunitat Valenciana;09. Ocio, espectáculos y cultura;2014;4.585.887
Total Nacional;10 Comunitat Valenciana;10. Educación;2020;1.148.061
Total Nacional;10 Comunitat Valenciana;10. Educación;2019;1.185.157
Total Nacional;10 Comunitat Valenciana;10. Educación;2018;1.168.640
Total Nacional;10 Comunitat Valenciana;10. Educación;2017;1.156.921
Total Nacional;10 Comunitat Valenciana;10. Educación;2016;1.142.138
Total Nacional;10 Comunitat Valenciana;10. Educación;2015;1.119.275
Total Nacional;10 Comunitat Valenciana;10. Educación;2014;1.147.007
Total Nacional;10 Comunitat Valenciana;11. Hoteles, cafés y restaurantes;2020;7.143.104
Total Nacional;10 Comunitat Valenciana;11. Hoteles, cafés y restaurantes;2019;13.606.094
Total Nacional;10 Comunitat Valenciana;11. Hoteles, cafés y restaurantes;2018;12.722.013
Total Nacional;10 Comunitat Valenciana;11. Hoteles, cafés y restaurantes;2017;12.349.803
Total Nacional;10 Comunitat Valenciana;11. Hoteles, cafés y restaurantes;2016;11.295.657
Total Nacional;10 Comunitat Valenciana;11. Hoteles, cafés y restaurantes;2015;11.393.685
Total Nacional;10 Comunitat Valenciana;11. Hoteles, cafés y restaurantes;2014;10.641.535
Total Nacional;10 Comunitat Valenciana;12. Otros bienes y servicios;2020;6.673.741
Total Nacional;10 Comunitat Valenciana;12. Otros bienes y servicios;2019;7.191.675
Total Nacional;10 Comunitat Valenciana;12. Otros bienes y servicios;2018;6.996.423
Total Nacional;10 Comunitat Valenciana;12. Otros bienes y servicios;2017;6.535.149
Total Nacional;10 Comunitat Valenciana;12. Otros bienes y servicios;2016;6.292.363
Total Nacional;10 Comunitat Valenciana;12. Otros bienes y servicios;2015;5.888.721
Total Nacional;10 Comunitat Valenciana;12. Otros bienes y servicios;2014;5.862.244
Total Nacional;10 Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2020;65.823.569
Total Nacional;10 Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2019;80.343.183
Total Nacional;10 Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2018;77.901.471
Total Nacional;10 Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2017;75.002.222
Total Nacional;10 Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2016;71.166.795
Total Nacional;10 Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2015;69.021.370
Total Nacional;10 Comunitat Valenciana;Total gasto en consumo final de los hogares interior;2014;67.515.199
Total Nacional;10 Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2020;62.189.125
Total Nacional;10 Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2019;69.454.300
Total Nacional;10 Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2018;67.562.359
Total Nacional;10 Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2017;65.137.203
Total Nacional;10 Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2016;62.339.524
Total Nacional;10 Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2015;61.799.172
Total Nacional;10 Comunitat Valenciana;P.3. Gasto en consumo final de los hogares;2014;60.658.407
Total Nacional;10 Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2020;78.533.983
Total Nacional;10 Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2019;84.952.596
Total Nacional;10 Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2018;82.378.173
Total Nacional;10 Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2017;79.209.092
Total Nacional;10 Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2016;76.095.854
Total Nacional;10 Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2015;75.172.064
Total Nacional;10 Comunitat Valenciana;P.4. Consumo final efectivo de los hogares;2014;73.424.795
Total Nacional;11 Extremadura;01. Alimentos y bebidas no alcohólicas;2020;1.910.446
Total Nacional;11 Extremadura;01. Alimentos y bebidas no alcohólicas;2019;1.733.436
Total Nacional;11 Extremadura;01. Alimentos y bebidas no alcohólicas;2018;1.715.007
Total Nacional;11 Extremadura;01. Alimentos y bebidas no alcohólicas;2017;1.674.294
Total Nacional;11 Extremadura;01. Alimentos y bebidas no alcohólicas;2016;1.681.686
Total Nacional;11 Extremadura;01. Alimentos y bebidas no alcohólicas;2015;1.773.026
Total Nacional;11 Extremadura;01. Alimentos y bebidas no alcohólicas;2014;1.699.284
Total Nacional;11 Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2020;633.449
Total Nacional;11 Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2019;594.799
Total Nacional;11 Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2018;626.220
Total Nacional;11 Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2017;636.799
Total Nacional;11 Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2016;616.610
Total Nacional;11 Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2015;546.005
Total Nacional;11 Extremadura;02. Bebidas alcohólicas, tabaco y narcóticos;2014;549.491
Total Nacional;11 Extremadura;03. Artículos de vestir y calzado;2020;405.556
Total Nacional;11 Extremadura;03. Artículos de vestir y calzado;2019;555.922
Total Nacional;11 Extremadura;03. Artículos de vestir y calzado;2018;572.298
Total Nacional;11 Extremadura;03. Artículos de vestir y calzado;2017;606.314
Total Nacional;11 Extremadura;03. Artículos de vestir y calzado;2016;615.682
Total Nacional;11 Extremadura;03. Artículos de vestir y calzado;2015;584.466
Total Nacional;11 Extremadura;03. Artículos de vestir y calzado;2014;578.479
Total Nacional;11 Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;2.768.720
Total Nacional;11 Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;2.871.583
Total Nacional;11 Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;2.847.998
Total Nacional;11 Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;2.820.194
Total Nacional;11 Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;2.772.956
Total Nacional;11 Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;2.779.960
Total Nacional;11 Extremadura;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;2.801.508
Total Nacional;11 Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;526.896
Total Nacional;11 Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;572.601
Total Nacional;11 Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;575.084
Total Nacional;11 Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;575.496
Total Nacional;11 Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;560.477
Total Nacional;11 Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;539.465
Total Nacional;11 Extremadura;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;523.838
Total Nacional;11 Extremadura;06. Salud;2020;604.113
Total Nacional;11 Extremadura;06. Salud;2019;645.877
Total Nacional;11 Extremadura;06. Salud;2018;624.980
Total Nacional;11 Extremadura;06. Salud;2017;608.081
Total Nacional;11 Extremadura;06. Salud;2016;586.675
Total Nacional;11 Extremadura;06. Salud;2015;582.783
Total Nacional;11 Extremadura;06. Salud;2014;554.728
Total Nacional;11 Extremadura;07. Transporte;2020;1.254.117
Total Nacional;11 Extremadura;07. Transporte;2019;1.643.290
Total Nacional;11 Extremadura;07. Transporte;2018;1.647.712
Total Nacional;11 Extremadura;07. Transporte;2017;1.589.067
Total Nacional;11 Extremadura;07. Transporte;2016;1.450.060
Total Nacional;11 Extremadura;07. Transporte;2015;1.423.500
Total Nacional;11 Extremadura;07. Transporte;2014;1.325.311
Total Nacional;11 Extremadura;08. Comunicaciones;2020;347.486
Total Nacional;11 Extremadura;08. Comunicaciones;2019;359.024
Total Nacional;11 Extremadura;08. Comunicaciones;2018;367.537
Total Nacional;11 Extremadura;08. Comunicaciones;2017;354.921
Total Nacional;11 Extremadura;08. Comunicaciones;2016;343.606
Total Nacional;11 Extremadura;08. Comunicaciones;2015;314.948
Total Nacional;11 Extremadura;08. Comunicaciones;2014;319.843
Total Nacional;11 Extremadura;09. Ocio, espectáculos y cultura;2020;561.178
Total Nacional;11 Extremadura;09. Ocio, espectáculos y cultura;2019;815.294
Total Nacional;11 Extremadura;09. Ocio, espectáculos y cultura;2018;769.484
Total Nacional;11 Extremadura;09. Ocio, espectáculos y cultura;2017;746.028
Total Nacional;11 Extremadura;09. Ocio, espectáculos y cultura;2016;714.049
Total Nacional;11 Extremadura;09. Ocio, espectáculos y cultura;2015;700.317
Total Nacional;11 Extremadura;09. Ocio, espectáculos y cultura;2014;667.828
Total Nacional;11 Extremadura;10. Educación;2020;168.721
Total Nacional;11 Extremadura;10. Educación;2019;179.039
Total Nacional;11 Extremadura;10. Educación;2018;179.269
Total Nacional;11 Extremadura;10. Educación;2017;180.003
Total Nacional;11 Extremadura;10. Educación;2016;178.101
Total Nacional;11 Extremadura;10. Educación;2015;172.447
Total Nacional;11 Extremadura;10. Educación;2014;175.694
Total Nacional;11 Extremadura;11. Hoteles, cafés y restaurantes;2020;946.484
Total Nacional;11 Extremadura;11. Hoteles, cafés y restaurantes;2019;1.563.726
Total Nacional;11 Extremadura;11. Hoteles, cafés y restaurantes;2018;1.548.615
Total Nacional;11 Extremadura;11. Hoteles, cafés y restaurantes;2017;1.578.551
Total Nacional;11 Extremadura;11. Hoteles, cafés y restaurantes;2016;1.489.995
Total Nacional;11 Extremadura;11. Hoteles, cafés y restaurantes;2015;1.331.600
Total Nacional;11 Extremadura;11. Hoteles, cafés y restaurantes;2014;1.212.735
Total Nacional;11 Extremadura;12. Otros bienes y servicios;2020;1.095.855
Total Nacional;11 Extremadura;12. Otros bienes y servicios;2019;1.142.917
Total Nacional;11 Extremadura;12. Otros bienes y servicios;2018;1.092.345
Total Nacional;11 Extremadura;12. Otros bienes y servicios;2017;1.047.582
Total Nacional;11 Extremadura;12. Otros bienes y servicios;2016;1.037.194
Total Nacional;11 Extremadura;12. Otros bienes y servicios;2015;963.408
Total Nacional;11 Extremadura;12. Otros bienes y servicios;2014;943.196
Total Nacional;11 Extremadura;Total gasto en consumo final de los hogares interior;2020;11.223.021
Total Nacional;11 Extremadura;Total gasto en consumo final de los hogares interior;2019;12.677.508
Total Nacional;11 Extremadura;Total gasto en consumo final de los hogares interior;2018;12.566.549
Total Nacional;11 Extremadura;Total gasto en consumo final de los hogares interior;2017;12.417.330
Total Nacional;11 Extremadura;Total gasto en consumo final de los hogares interior;2016;12.047.091
Total Nacional;11 Extremadura;Total gasto en consumo final de los hogares interior;2015;11.711.925
Total Nacional;11 Extremadura;Total gasto en consumo final de los hogares interior;2014;11.351.935
Total Nacional;11 Extremadura;P.3. Gasto en consumo final de los hogares;2020;10.870.486
Total Nacional;11 Extremadura;P.3. Gasto en consumo final de los hogares;2019;12.235.356
Total Nacional;11 Extremadura;P.3. Gasto en consumo final de los hogares;2018;12.158.892
Total Nacional;11 Extremadura;P.3. Gasto en consumo final de los hogares;2017;11.961.430
Total Nacional;11 Extremadura;P.3. Gasto en consumo final de los hogares;2016;11.569.650
Total Nacional;11 Extremadura;P.3. Gasto en consumo final de los hogares;2015;11.184.815
Total Nacional;11 Extremadura;P.3. Gasto en consumo final de los hogares;2014;11.157.077
Total Nacional;11 Extremadura;P.4. Consumo final efectivo de los hogares;2020;14.852.516
Total Nacional;11 Extremadura;P.4. Consumo final efectivo de los hogares;2019;16.063.228
Total Nacional;11 Extremadura;P.4. Consumo final efectivo de los hogares;2018;15.825.055
Total Nacional;11 Extremadura;P.4. Consumo final efectivo de los hogares;2017;15.563.677
Total Nacional;11 Extremadura;P.4. Consumo final efectivo de los hogares;2016;15.154.459
Total Nacional;11 Extremadura;P.4. Consumo final efectivo de los hogares;2015;14.660.875
Total Nacional;11 Extremadura;P.4. Consumo final efectivo de los hogares;2014;14.517.676
Total Nacional;12 Galicia;01. Alimentos y bebidas no alcohólicas;2020;5.900.741
Total Nacional;12 Galicia;01. Alimentos y bebidas no alcohólicas;2019;5.378.681
Total Nacional;12 Galicia;01. Alimentos y bebidas no alcohólicas;2018;5.375.151
Total Nacional;12 Galicia;01. Alimentos y bebidas no alcohólicas;2017;5.271.624
Total Nacional;12 Galicia;01. Alimentos y bebidas no alcohólicas;2016;5.296.804
Total Nacional;12 Galicia;01. Alimentos y bebidas no alcohólicas;2015;5.509.763
Total Nacional;12 Galicia;01. Alimentos y bebidas no alcohólicas;2014;5.392.332
Total Nacional;12 Galicia;02. Bebidas alcohólicas, tabaco y narcóticos;2020;1.539.754
Total Nacional;12 Galicia;02. Bebidas alcohólicas, tabaco y narcóticos;2019;1.427.025
Total Nacional;12 Galicia;02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.422.240
Total Nacional;12 Galicia;02. Bebidas alcohólicas, tabaco y narcóticos;2017;1.417.068
Total Nacional;12 Galicia;02. Bebidas alcohólicas, tabaco y narcóticos;2016;1.463.914
Total Nacional;12 Galicia;02. Bebidas alcohólicas, tabaco y narcóticos;2015;1.421.797
Total Nacional;12 Galicia;02. Bebidas alcohólicas, tabaco y narcóticos;2014;1.372.456
Total Nacional;12 Galicia;03. Artículos de vestir y calzado;2020;1.277.296
Total Nacional;12 Galicia;03. Artículos de vestir y calzado;2019;1.789.036
Total Nacional;12 Galicia;03. Artículos de vestir y calzado;2018;1.763.962
Total Nacional;12 Galicia;03. Artículos de vestir y calzado;2017;1.828.651
Total Nacional;12 Galicia;03. Artículos de vestir y calzado;2016;1.834.619
Total Nacional;12 Galicia;03. Artículos de vestir y calzado;2015;1.814.298
Total Nacional;12 Galicia;03. Artículos de vestir y calzado;2014;1.726.475
Total Nacional;12 Galicia;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;8.041.649
Total Nacional;12 Galicia;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;8.221.405
Total Nacional;12 Galicia;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;8.106.061
Total Nacional;12 Galicia;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;7.945.730
Total Nacional;12 Galicia;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;7.767.677
Total Nacional;12 Galicia;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;7.761.056
Total Nacional;12 Galicia;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;7.737.624
Total Nacional;12 Galicia;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;1.675.577
Total Nacional;12 Galicia;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.838.817
Total Nacional;12 Galicia;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.858.855
Total Nacional;12 Galicia;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.852.151
Total Nacional;12 Galicia;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;1.822.242
Total Nacional;12 Galicia;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;1.755.973
Total Nacional;12 Galicia;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;1.678.424
Total Nacional;12 Galicia;06. Salud;2020;1.744.382
Total Nacional;12 Galicia;06. Salud;2019;1.832.103
Total Nacional;12 Galicia;06. Salud;2018;1.733.290
Total Nacional;12 Galicia;06. Salud;2017;1.672.404
Total Nacional;12 Galicia;06. Salud;2016;1.511.950
Total Nacional;12 Galicia;06. Salud;2015;1.578.268
Total Nacional;12 Galicia;06. Salud;2014;1.565.182
Total Nacional;12 Galicia;07. Transporte;2020;3.749.031
Total Nacional;12 Galicia;07. Transporte;2019;4.875.813
Total Nacional;12 Galicia;07. Transporte;2018;4.858.228
Total Nacional;12 Galicia;07. Transporte;2017;4.694.399
Total Nacional;12 Galicia;07. Transporte;2016;4.334.073
Total Nacional;12 Galicia;07. Transporte;2015;4.160.593
Total Nacional;12 Galicia;07. Transporte;2014;4.226.558
Total Nacional;12 Galicia;08. Comunicaciones;2020;979.573
Total Nacional;12 Galicia;08. Comunicaciones;2019;992.615
Total Nacional;12 Galicia;08. Comunicaciones;2018;993.405
Total Nacional;12 Galicia;08. Comunicaciones;2017;952.644
Total Nacional;12 Galicia;08. Comunicaciones;2016;900.792
Total Nacional;12 Galicia;08. Comunicaciones;2015;861.331
Total Nacional;12 Galicia;08. Comunicaciones;2014;836.034
Total Nacional;12 Galicia;09. Ocio, espectáculos y cultura;2020;1.695.828
Total Nacional;12 Galicia;09. Ocio, espectáculos y cultura;2019;2.520.546
Total Nacional;12 Galicia;09. Ocio, espectáculos y cultura;2018;2.451.480
Total Nacional;12 Galicia;09. Ocio, espectáculos y cultura;2017;2.384.737
Total Nacional;12 Galicia;09. Ocio, espectáculos y cultura;2016;2.203.586
Total Nacional;12 Galicia;09. Ocio, espectáculos y cultura;2015;2.155.008
Total Nacional;12 Galicia;09. Ocio, espectáculos y cultura;2014;1.941.637
Total Nacional;12 Galicia;10. Educación;2020;453.718
Total Nacional;12 Galicia;10. Educación;2019;474.741
Total Nacional;12 Galicia;10. Educación;2018;470.198
Total Nacional;12 Galicia;10. Educación;2017;467.319
Total Nacional;12 Galicia;10. Educación;2016;461.368
Total Nacional;12 Galicia;10. Educación;2015;448.923
Total Nacional;12 Galicia;10. Educación;2014;459.194
Total Nacional;12 Galicia;11. Hoteles, cafés y restaurantes;2020;2.850.352
Total Nacional;12 Galicia;11. Hoteles, cafés y restaurantes;2019;5.044.247
Total Nacional;12 Galicia;11. Hoteles, cafés y restaurantes;2018;4.997.492
Total Nacional;12 Galicia;11. Hoteles, cafés y restaurantes;2017;4.884.846
Total Nacional;12 Galicia;11. Hoteles, cafés y restaurantes;2016;4.392.763
Total Nacional;12 Galicia;11. Hoteles, cafés y restaurantes;2015;4.292.889
Total Nacional;12 Galicia;11. Hoteles, cafés y restaurantes;2014;3.953.122
Total Nacional;12 Galicia;12. Otros bienes y servicios;2020;3.162.196
Total Nacional;12 Galicia;12. Otros bienes y servicios;2019;3.428.027
Total Nacional;12 Galicia;12. Otros bienes y servicios;2018;3.290.934
Total Nacional;12 Galicia;12. Otros bienes y servicios;2017;3.180.601
Total Nacional;12 Galicia;12. Otros bienes y servicios;2016;3.071.449
Total Nacional;12 Galicia;12. Otros bienes y servicios;2015;2.858.518
Total Nacional;12 Galicia;12. Otros bienes y servicios;2014;2.906.184
Total Nacional;12 Galicia;Total gasto en consumo final de los hogares interior;2020;33.070.097
Total Nacional;12 Galicia;Total gasto en consumo final de los hogares interior;2019;37.823.056
Total Nacional;12 Galicia;Total gasto en consumo final de los hogares interior;2018;37.321.296
Total Nacional;12 Galicia;Total gasto en consumo final de los hogares interior;2017;36.552.174
Total Nacional;12 Galicia;Total gasto en consumo final de los hogares interior;2016;35.061.237
Total Nacional;12 Galicia;Total gasto en consumo final de los hogares interior;2015;34.618.417
Total Nacional;12 Galicia;Total gasto en consumo final de los hogares interior;2014;33.795.222
Total Nacional;12 Galicia;P.3. Gasto en consumo final de los hogares;2020;32.214.797
